timestamp,ax,ay,az,gx,gy,gz
74,0.161499,-0.229858,0.950439,2.441406,7.141113,-15.258788
85,0.163208,-0.227905,0.966553,2.868652,6.958007,-15.380858
96,0.165894,-0.228638,0.983887,3.417969,5.554199,-16.967773
107,0.167725,-0.231567,0.991821,3.112793,5.065917,-17.944336
119,0.167969,-0.234619,0.990723,2.563476,5.004883,-18.737793
130,0.166748,-0.238281,0.987793,2.136230,5.615234,-19.226074
141,0.164551,-0.247437,0.978516,1.892090,7.141113,-19.470215
152,0.169556,-0.253418,0.969482,1.953125,8.911133,-19.592285
163,0.176147,-0.260742,0.962280,2.075195,10.192870,-19.653320
175,0.181763,-0.264282,0.957275,1.770019,10.742187,-19.470215
186,0.187134,-0.263062,0.952759,0.915527,10.681151,-19.042969
197,0.189819,-0.263672,0.949829,0.305176,9.338379,-18.005371
208,0.188599,-0.269897,0.947510,0.122070,8.361816,-17.700195
220,0.186157,-0.279175,0.946411,-0.976562,7.507324,-17.578125
231,0.184204,-0.282471,0.948730,-2.441406,7.324218,-17.272949
242,0.182495,-0.275513,0.951538,-2.929687,8.117676,-16.601562
253,0.183228,-0.278931,0.947754,-2.380371,9.765625,-15.686034
265,0.185425,-0.286377,0.944458,-1.953125,11.474608,-14.831542
276,0.190430,-0.290771,0.943237,-2.441406,12.634276,-14.282226
287,0.196167,-0.291504,0.940918,-3.479004,13.183593,-13.793944
298,0.200684,-0.289795,0.934204,-3.051758,13.488769,-11.718749
310,0.203857,-0.287354,0.925781,-1.892090,13.183593,-10.375976
321,0.204712,-0.285522,0.921997,-0.915527,12.573241,-9.582520
332,0.200562,-0.279907,0.930176,-0.061035,11.901855,-9.521484
343,0.203125,-0.275391,0.935303,0.610352,11.596679,-9.765625
354,0.206787,-0.275269,0.939331,0.915527,11.657714,-9.826660
366,0.207520,-0.278564,0.941895,0.549316,11.779784,-9.704590
377,0.205811,-0.279541,0.943359,-0.854492,12.084960,-9.704590
388,0.204102,-0.274658,0.943359,-4.455566,13.610839,-10.742187
399,0.205322,-0.264160,0.941895,-4.821777,14.404296,-11.352538
411,0.210083,-0.252441,0.939819,-3.906250,14.831542,-12.084960
422,0.215576,-0.246094,0.938843,-2.502441,14.526366,-13.122558
433,0.222046,-0.252075,0.939087,-1.708984,13.488769,-14.587401
444,0.223633,-0.253296,0.942139,-1.892090,11.901855,-16.174316
456,0.223389,-0.251953,0.945312,-2.563476,10.375976,-17.517090
467,0.224121,-0.247803,0.948853,-2.868652,9.277344,-18.371582
478,0.225586,-0.242065,0.950806,-2.197266,8.850098,-18.493652
489,0.227783,-0.238159,0.950073,1.770019,10.314940,-18.066406
501,0.234253,-0.234375,0.947266,3.784179,11.718749,-17.883301
512,0.239624,-0.230225,0.940552,6.042480,13.305663,-17.517090
523,0.266724,-0.224121,0.922363,9.826660,14.587401,-17.272949
534,0.275269,-0.224731,0.919434,11.657714,15.014647,-17.822266
546,0.281128,-0.233032,0.920166,6.713867,14.160155,-18.432617
557,0.295776,-0.244751,0.925781,-1.647949,12.329101,-18.493652
568,0.304443,-0.252930,0.936157,-5.554199,9.704590,-18.005371
579,0.303345,-0.258179,0.946533,-2.929687,3.662109,-16.601562
591,0.302246,-0.257568,0.953857,-2.441406,0.915527,-15.808105
602,0.298950,-0.252563,0.961304,-2.502441,-1.586914,-14.282226
613,0.290527,-0.245728,0.968628,-2.807617,-3.479004,-12.573241
624,0.281738,-0.234253,0.970581,-3.051758,-4.211426,-11.169433
635,0.281250,-0.232300,0.964111,-2.563476,-3.723144,-10.192870
647,0.280640,-0.234497,0.955566,-0.549316,-1.770019,-10.009766
658,0.283203,-0.238647,0.949097,2.441406,0.915527,-10.864257
669,0.286133,-0.242432,0.942749,5.187988,3.051758,-12.145995
680,0.288208,-0.246582,0.933838,4.394531,2.258301,-14.770507
691,0.293457,-0.243896,0.921265,2.380371,-0.488281,-16.479492
703,0.298828,-0.231934,0.907227,1.525879,-4.089355,-18.005371
714,0.300537,-0.215454,0.893433,2.502441,-8.361816,-19.104004
725,0.293335,-0.219727,0.888672,3.845215,-12.817382,-19.958496
