timestamp,ax,ay,az,gx,gy,gz
76,0.205933,-0.350464,0.906982,2.319336,3.845215,0.183105
93,0.214600,-0.355103,0.922729,2.075195,3.845215,0.244141
110,0.216675,-0.355103,0.922119,1.525879,2.685547,0.427246
127,0.217285,-0.349731,0.917603,1.770019,2.258301,0.610352
144,0.217773,-0.346924,0.911743,2.929687,1.464844,1.281738
161,0.219360,-0.347778,0.910767,3.967285,0.671387,1.464844
178,0.223877,-0.352295,0.912231,3.906250,0.244141,1.525879
195,0.224365,-0.352661,0.916260,1.953125,-0.061035,1.770019
212,0.223389,-0.346924,0.917480,-1.037598,0.488281,2.197266
229,0.222412,-0.332275,0.922485,-1.342773,0.549316,2.136230
247,0.224121,-0.327515,0.929932,0.549316,-0.244141,1.281738
264,0.221313,-0.337036,0.932739,2.990722,-1.525879,0.000000
281,0.218750,-0.346558,0.934082,3.784179,-1.770019,-0.854492
298,0.215210,-0.358643,0.932861,2.990722,-1.098633,-0.793457
315,0.215698,-0.350952,0.931519,0.122070,0.549316,0.000000
331,0.217773,-0.344238,0.929932,-0.488281,1.220703,0.427246
348,0.220581,-0.335571,0.928711,0.427246,1.220703,0.183105
365,0.218872,-0.339233,0.922607,2.319336,1.708984,-0.671387
382,0.218262,-0.343384,0.917114,2.929687,1.831055,-0.732422
399,0.219604,-0.346924,0.909302,2.685547,1.281738,-0.610352
416,0.217651,-0.351440,0.911743,1.892090,-0.488281,-0.793457
434,0.216187,-0.353882,0.912598,0.183105,-0.915527,-0.671387
451,0.214844,-0.353638,0.911621,-1.647949,-0.793457,0.366211
468,0.213867,-0.340576,0.912109,-1.708984,-0.854492,0.732422
486,0.215088,-0.338257,0.909668,-0.366211,-0.610352,0.183105
503,0.218262,-0.341675,0.908936,0.061035,-1.342773,-0.671387
521,0.220825,-0.346924,0.910034,-0.427246,-2.380371,-0.793457
539,0.221313,-0.349854,0.919312,-1.586914,-4.272461,-0.732422
556,0.219604,-0.347534,0.933472,-1.770019,-4.333496,-0.549316
574,0.218262,-0.347534,0.940186,-0.610352,-3.112793,-0.366211
592,0.218018,-0.348877,0.942749,0.427246,-1.220703,-0.122070
609,0.218872,-0.349976,0.936646,0.427246,-0.549316,-0.061035
626,0.217163,-0.349731,0.935669,0.183105,-0.488281,-0.122070
643,0.217041,-0.350220,0.935303,0.305176,-0.915527,-0.244141
660,0.216919,-0.349609,0.936035,0.549316,-0.854492,-0.427246
677,0.213257,-0.350220,0.936890,1.098633,-0.244141,-0.427246
694,0.213989,-0.350830,0.935669,1.647949,0.671387,-0.366211
711,0.219116,-0.353149,0.931030,2.014160,1.220703,-0.488281
728,0.219971,-0.354614,0.929443,2.441406,1.708984,-0.427246
744,0.219727,-0.352905,0.928467,1.831055,1.464844,0.305176
763,0.217407,-0.351807,0.925293,1.342773,1.403808,0.488281
781,0.216553,-0.345947,0.923828,0.366211,1.464844,0.671387
799,0.216797,-0.342651,0.923218,0.488281,1.525879,0.793457
816,0.216309,-0.342896,0.922363,1.586914,1.770019,0.610352
832,0.217651,-0.341797,0.919434,2.136230,1.770019,0.488281
849,0.218262,-0.348511,0.918091,2.441406,1.647949,0.488281
865,0.218384,-0.348511,0.916504,0.793457,1.770019,0.915527
882,0.218018,-0.337646,0.915405,0.244141,1.586914,0.793457
898,0.217407,-0.333374,0.916626,0.366211,1.037598,0.244141
