ax,ay,az,gx,gy,gz,label
0.261841,-0.100342,0.969238,-33.447266,10.131835,13.85498,double
0.273193,-0.000488,0.979004,-41.198727,7.873535,13.061522,double
0.285522,0.088745,0.995972,-15.380858,0.793457,2.258301,double
0.312134,0.378418,1.046753,25.451658,-7.690429,-11.535644,double
0.296021,0.580444,1.033691,203.430161,-35.583496,-54.626461,double
0.261353,0.527466,0.94519,493.652313,-59.204098,-95.336906,double
0.150024,-0.044922,0.565063,640.075684,-64.147949,-103.393547,double
0.137939,-0.293335,0.349243,807.250916,-69.702148,-104.064934,double
0.142212,-0.499634,-0.073608,854.125916,-80.993645,-104.248039,double
0.129028,-0.969727,-0.189941,857.910095,-84.289543,-100.280754,double
0.078491,-1.344482,-0.047241,714.355408,-62.744137,-72.937012,double
-0.208252,-2.38269,0.372925,281.982422,47.241207,-15.014647,double
-0.330322,-2.87085,0.365601,-31.98242,124.999992,24.536131,double
-0.253174,-2.515747,0.018921,-639.953613,226.074203,125.427238,double
0.004395,-1.518433,-0.710815,-941.528259,184.936508,219.604477,double
0.130615,-0.749268,-0.727661,-999.267517,137.023926,257.202148,double
0.127319,-0.295044,-0.497314,-975.524841,59.814449,272.949219,double
0.346924,0.976074,0.093384,-877.929626,23.193357,223.449692,double
0.526367,1.810791,1.145264,-349.79245,-83.740227,38.024902,double
0.392822,1.44165,1.359741,282.775879,-129.089355,-88.562004,double
0.08606,0.401855,0.852051,493.774384,-121.032707,-114.990227,double
0.010864,-0.340576,0.206177,717.040955,-119.323723,-134.033203,double
-0.003174,-0.693848,-0.019897,803.344666,-138.305664,-127.746574,double
0.008545,-1.120972,-0.307007,822.204529,-147.399902,-119.323723,double
0.047241,-1.219849,-0.260864,805.664001,-148.31543,-105.834953,double
0.020996,-1.357056,-0.151245,662.170349,-121.765129,-97.839348,double
-0.080444,-1.637939,0.168823,545.043945,-101.745598,-89.172356,double
-0.220093,-1.874756,0.411011,257.873535,-32.165527,-45.349117,double
-0.244263,-1.92749,0.422363,-89.172356,73.852539,15.319823,double
-0.216309,-1.869141,0.175171,-268.249512,123.962395,47.546383,double
-0.110474,-1.361572,-0.312378,-577.941895,179.931625,101.684563,double
-0.022095,-1.0354,-0.407837,-697.082458,156.799316,119.140617,double
0.12146,-0.573364,-0.110596,-668.945251,129.943848,115.295403,double
0.154663,-0.493408,0.318481,-494.20163,85.20507,103.454582,double
0.171753,-0.484375,0.452026,-323.120087,53.405758,94.78759,double
0.221802,-0.453125,0.616455,-277.954102,39.18457,88.439934,double
0.244629,-0.371216,0.729736,-233.825668,16.113281,68.42041,double
0.247803,-0.345947,0.776611,-180.053696,0.854492,46.020504,double
0.249512,-0.337891,0.853638,-147.155762,-3.784179,37.353516,double
0.250244,-0.34314,0.880493,-85.449211,-3.662109,27.770994,double
0.253418,-0.345581,0.878174,-44.006344,3.601074,22.827147,double
0.264893,-0.35376,0.860596,-31.86035,5.615234,19.592285,double
0.27124,-0.385254,0.854492,-20.507811,3.417969,13.000487,junk
0.268188,-0.400391,0.862427,-19.53125,-4.211426,11.291503,junk
0.262573,-0.403931,0.88916,-20.446775,-7.995605,11.657714,junk
0.25708,-0.39856,0.910522,-24.780272,-12.756347,11.901855,junk
0.250488,-0.391113,0.921753,-27.282713,-13.244628,10.742187,junk
0.242065,-0.379395,0.935669,-26.245115,-12.08496,9.338379,junk
0.22937,-0.382202,0.937134,-20.446775,-8.178711,7.324218,junk
0.224854,-0.382935,0.934937,-14.038085,-3.662109,5.92041,junk
0.221313,-0.394409,0.93103,-10.31494,-1.89209,4.943848,junk
0.219482,-0.407959,0.924683,-2.868652,0.732422,3.723144,junk
0.222412,-0.408447,0.918335,-0.305176,2.807617,3.112793,junk
0.232056,-0.401611,0.904297,-0.12207,3.173828,3.295898,junk
0.238647,-0.397217,0.897949,-0.244141,2.929687,4.455566,junk
0.253662,-0.385864,0.883179,-0.610352,0.976562,5.249023,junk
0.265747,-0.367188,0.866211,-0.061035,-0.610352,5.310058,junk
0.27002,-0.364014,0.859253,1.403808,-4.638672,4.943848,junk
0.274658,-0.367432,0.844238,0.549316,-8.300781,4.150391,junk
0.269409,-0.368774,0.823364,-0.793457,-9.765625,3.784179,junk
0.265991,-0.370972,0.813477,-4.02832,-13.85498,3.784179,junk
0.26062,-0.369751,0.797974,-5.92041,-16.601562,4.150391,junk
0.251221,-0.356201,0.785522,-10.0708,-22.644041,5.249023,junk
0.244629,-0.349121,0.780273,-12.329101,-28.808592,5.676269,junk
0.234375,-0.341431,0.772949,-13.000487,-31.494139,5.493164,junk
0.217407,-0.3396,0.77002,-14.343261,-36.376953,5.737304,junk
0.209473,-0.338379,0.773682,-15.930175,-41.809078,6.774902,junk
0.195679,-0.332153,0.790527,-16.479492,-49.072262,8.239746,junk
0.180908,-0.318237,0.814331,-16.357422,-53.283688,9.155273,junk
0.155396,-0.306274,0.838989,-15.624999,-60.913082,9.887695,junk
0.138672,-0.301025,0.845093,-15.075683,-64.27002,9.521484,junk
0.111572,-0.293335,0.850464,-14.038085,-64.880371,9.277344,junk
0.092041,-0.289917,0.860718,-9.521484,-67.443848,8.789063,junk
0.081055,-0.286865,0.86499,-5.004883,-72.44873,7.93457,junk
0.048584,-0.284546,0.875122,-3.479004,-74.890137,6.958007,junk
0.014648,-0.286743,0.892578,-2.929687,-76.599121,3.723144,junk
-0.000854,-0.285889,0.896729,-7.141113,-70.3125,-0.366211,junk
-0.027222,-0.281616,0.886475,-10.009766,-64.941406,-2.441406,junk
-0.044556,-0.27356,0.87146,-13.671874,-55.053707,-6.225585,junk
-0.048584,-0.275391,0.870361,-12.878417,-50.842281,-7.629394,junk
-0.055786,-0.282715,0.877686,-12.817382,-51.208492,-7.019042,junk
-0.071777,-0.288574,0.894775,-14.709472,-54.809566,-5.554199,junk
-0.083862,-0.287476,0.901245,-18.676758,-59.204098,-5.310058,junk
-0.113281,-0.285889,0.917969,-20.38574,-60.241695,-5.493164,junk
-0.143555,-0.282104,0.927856,-24.04785,-59.265133,-5.615234,junk
-0.154297,-0.279785,0.929443,-25.878904,-56.823727,-5.432128,junk
-0.174316,-0.283081,0.940918,-26.123045,-56.15234,-4.943848,junk
-0.194458,-0.291626,0.964844,-27.587889,-57.189938,-3.417969,junk
-0.207886,-0.299561,0.981689,-29.663084,-60.668941,-0.915527,junk
-0.241699,-0.305908,1.017334,-30.944822,-62.07275,1.098633,junk
-0.269165,-0.290161,1.045898,-34.790039,-62.255856,4.638672,junk
-0.280884,-0.277222,1.056152,-39.18457,-59.387203,5.065917,junk
-0.303223,-0.246094,1.069336,-39.306641,-56.823727,4.577637,junk
-0.317993,-0.211548,1.075562,-33.325195,-50.964352,3.784179,junk
-0.324463,-0.194946,1.07605,-18.920898,-45.959469,2.563476,junk
-0.331787,-0.174561,1.058838,-9.70459,-43.579098,1.464844,junk
-0.334351,-0.185425,1.024536,9.094238,-38.757324,-0.305176,junk
-0.336426,-0.199219,1.005493,22.521971,-33.02002,-0.427246,junk
-0.338135,-0.213257,0.968994,25.817869,-30.578611,-0.610352,junk
-0.334595,-0.224487,0.939331,26.489256,-28.259275,-0.976562,junk
-0.333008,-0.223633,0.92627,19.104004,-27.893064,0.12207,junk
-0.335205,-0.209961,0.914917,14.038085,-27.9541,0.305176,junk
-0.346802,-0.218506,0.930786,4.516602,-28.137205,-0.427246,junk
-0.354858,-0.233765,0.938599,-6.286621,-27.160643,-2.075195,junk
-0.372803,-0.245972,0.949219,-15.441894,-25.573729,-2.075195,junk
-0.38501,-0.241943,0.962036,-18.188477,-25.207518,-1.281738,junk
-0.387207,-0.227173,0.976929,-20.629881,-25.085447,0.915527,junk
-0.387939,-0.2146,0.980713,-18.737793,-22.338865,3.540039,junk
-0.391846,-0.189941,0.978271,-15.441894,-20.019531,3.967285,junk
-0.396606,-0.184937,0.97937,-5.676269,-16.296387,3.967285,junk
-0.404785,-0.1875,0.98938,-1.403808,-15.258788,3.723144,junk
-0.407715,-0.199219,0.997314,3.295898,-13.488769,2.990722,junk
-0.411987,-0.207642,0.998779,4.455566,-10.925292,2.868652,junk
-0.423584,-0.227417,1.000854,4.333496,-9.033203,2.929687,junk
-0.420532,-0.229492,0.990234,2.258301,-3.479004,4.089355,junk
-0.415161,-0.226562,0.984985,1.098633,1.89209,6.286621,junk
-0.407837,-0.2146,0.973511,2.197266,3.90625,7.080078,junk
-0.404053,-0.201172,0.954712,6.835937,6.591796,7.263183,junk
-0.4021,-0.202515,0.946411,11.047362,7.385253,5.92041,junk
-0.400513,-0.220093,0.935425,11.291503,7.446289,5.493164,junk
-0.404541,-0.22937,0.928345,7.873535,7.019042,5.798339,junk
-0.40564,-0.228882,0.926758,2.563476,5.493164,6.286621,junk
-0.402466,-0.213745,0.928711,0.427246,4.455566,6.225585,junk
-0.400024,-0.181641,0.925171,0.610352,2.685547,5.676269,junk
-0.400024,-0.172485,0.918701,9.399414,1.953125,4.02832,junk
-0.401855,-0.186523,0.911011,15.258788,1.708984,2.929687,junk
-0.406372,-0.223999,0.907715,21.911619,2.319336,0.915527,junk
-0.407593,-0.242676,0.904541,18.371582,4.699707,0.427246,junk
-0.405884,-0.262329,0.895996,13.916015,6.469726,1.098633,junk
-0.394409,-0.242798,0.884521,4.943848,9.643555,2.197266,junk
-0.38501,-0.236084,0.880127,2.868652,10.375976,1.342773,junk
-0.369141,-0.232544,0.870117,3.540039,10.19287,0.732422,junk
-0.361572,-0.244629,0.863525,5.798339,9.338379,0.244141,junk
-0.358765,-0.252075,0.863403,6.774902,8.361816,1.647949,junk
-0.355103,-0.258057,0.868042,6.103515,8.422852,2.685547,junk
-0.351074,-0.242676,0.865112,4.211426,9.643555,3.234863,junk
-0.343994,-0.204346,0.859253,13.97705,5.737304,-3.356933,junk
-0.282715,0.176636,0.807861,42.114254,-6.652832,-15.99121,junk
-0.310181,0.527588,0.726074,223.876938,-64.453125,-69.824219,double
-0.384277,0.533936,0.581787,578.00293,-129.760742,-131.958008,double
-0.552734,0.394531,-0.2052,778.015076,-154.174805,-157.653809,double
-0.692993,-0.278198,-1.290771,1110.168457,-188.720688,-198.120102,double
-0.789062,-0.953369,-1.483643,1143.920898,-202.270493,-200.012192,double
-1.323486,-2.87146,-0.671509,790.832458,-76.599121,-132.8125,double
-1.539185,-3.906738,0.53772,421.752899,50.47607,-63.537594,double
-1.446045,-3.376831,0.497559,-461.791962,278.076172,109.069817,double
-1.055664,-2.026123,-0.498901,-958.007751,352.905243,249.511703,double
-0.779663,-1.417236,-1.69397,-1087.646484,335.388153,305.541992,double
-0.032349,1.558472,-1.23584,-1033.508301,184.936508,368.774384,double
0.278931,2.930664,-0.090576,-228.881821,-36.071777,178.588852,double
-0.03064,2.108154,0.665649,270.324707,-121.948235,-8.422852,double
-0.653198,0.359131,-0.57373,768.066345,-217.163071,-300.292969,double
-0.808105,-0.503662,-0.99292,700.500427,-294.189453,-315.429687,double
-1.004395,-1.583496,-0.670288,624.023438,-331.481903,-257.385254,double
-1.042725,-1.414673,-0.1698,702.392517,-338.439911,-158.38623,double
-0.947998,-1.30188,-0.069946,678.893982,-245.483383,-119.750969,double
-0.891724,-1.2948,0.013916,594.909668,-189.514145,-98.937981,double
-1.036499,-1.253784,0.097412,378.540009,-71.777344,-39.18457,double
-1.08252,-1.12439,0.029785,115.661613,62.011715,9.216309,double
-1.020508,-0.899902,-0.268188,-109.436028,158.813477,28.137205,double
-0.958008,-0.849121,-0.530762,-196.289047,179.809555,33.935547,double
-0.944092,-0.807983,-0.601807,-314.025879,187.316879,46.203609,double
-0.920654,-0.804932,-0.552002,-363.40329,177.490219,62.927242,double
-0.905151,-0.809814,-0.431396,-371.520966,170.104965,72.631836,double
-0.852783,-0.88623,-0.26123,-370.483368,155.334473,90.515129,double
-0.803589,-0.834595,-0.185181,-356.628387,131.103516,107.238762,double
-0.709473,-0.601318,-0.047363,-332.641571,114.624016,110.29052,double
-0.631104,-0.447998,0.106445,-247.131332,75.317383,96.92382,double
-0.598511,-0.43811,0.183838,-155.334473,38.085937,69.641113,double
-0.567871,-0.514648,0.312866,-124.084465,25.207518,57.373043,double
-0.561157,-0.588013,0.388184,-103.637688,13.183593,41.931149,double
-0.562622,-0.604248,0.416504,-106.994621,12.695312,36.987305,double
-0.566162,-0.601318,0.453491,-106.323235,13.916015,35.888672,double
-0.562012,-0.575806,0.480713,-95.520012,14.770507,31.86035,double
-0.548706,-0.552856,0.484253,-77.209473,12.695312,25.573729,double
-0.516357,-0.508667,0.485596,-66.894531,9.765625,21.728514,double
-0.502075,-0.507202,0.499023,-44.921871,1.220703,14.038085,double
-0.504883,-0.518799,0.510498,-25.085447,-4.577637,9.399414,double
-0.53418,-0.58374,0.539062,-18.554687,-3.967285,8.605957,double
-0.559692,-0.663574,0.55127,-23.681639,4.394531,10.0708,junk
-0.55957,-0.661743,0.551025,-46.936031,13.122558,13.061522,junk
-0.546753,-0.616333,0.544678,-55.969234,15.380858,13.916015,junk
-0.529297,-0.569458,0.538086,-61.645504,14.953612,13.305663,junk
-0.520996,-0.550781,0.536377,-51.208492,9.399414,11.413573,junk
-0.511353,-0.543823,0.539795,-41.625973,5.92041,10.375976,junk
-0.515503,-0.563599,0.557251,-22.460936,-0.671387,8.728027,junk
-0.523804,-0.577393,0.569336,-9.643555,-5.249023,6.347656,junk
-0.53479,-0.597778,0.584473,-10.986327,-6.469726,2.807617,junk
-0.542969,-0.609253,0.59314,-13.671874,-5.737304,1.770019,junk
-0.542847,-0.610229,0.599121,-16.113281,-4.211426,2.197266,junk
-0.536499,-0.598877,0.614136,-14.343261,-4.516602,4.089355,junk
-0.527588,-0.574707,0.621216,-12.451171,-5.859375,4.821777,junk
-0.528564,-0.561768,0.624023,-4.638672,-9.94873,4.455566,junk
-0.5354,-0.557373,0.628906,4.821777,-12.573241,2.380371,junk
-0.545044,-0.576294,0.635376,8.056641,-12.756347,1.403808,junk
-0.557739,-0.598022,0.640381,10.19287,-9.58252,0.305176,junk
-0.560547,-0.605347,0.637207,6.225585,-2.990722,0.12207,junk
-0.553467,-0.609619,0.632202,3.356933,0.061035,0.305176,junk
-0.542847,-0.594238,0.624268,-2.380371,4.089355,1.037598,junk
-0.539551,-0.584351,0.619385,-4.943848,4.516602,1.220703,junk
-0.541504,-0.574585,0.610474,-3.90625,3.845215,0.976562,junk
-0.536621,-0.571411,0.600952,0.976562,2.319336,0.488281,junk
-0.533447,-0.569458,0.597778,6.103515,-0.244141,0.488281,junk
-0.536011,-0.577881,0.597656,8.056641,-1.403808,0.549316,junk
-0.545288,-0.591187,0.594482,8.239746,-1.403808,0.915527,junk
-0.547974,-0.591431,0.590332,4.699707,1.708984,1.098633,junk
-0.543213,-0.586548,0.583252,2.929687,3.479004,1.098633,junk
-0.534424,-0.575073,0.577148,0.671387,5.859375,0.976562,junk
-0.532471,-0.567749,0.572144,0.488281,6.225585,0.0,junk
-0.524048,-0.560303,0.569336,0.488281,5.615234,-0.671387,junk
-0.514526,-0.554687,0.579346,0.427246,2.807617,-1.159668,junk
-0.51355,-0.551514,0.589355,1.159668,-0.549316,-0.732422,junk
-0.517212,-0.536621,0.606323,1.281738,-1.342773,-0.671387,junk
-0.511719,-0.515137,0.614746,0.244141,-0.427246,-1.831055,junk
-0.502686,-0.504395,0.618774,-2.13623,0.732422,-4.943848,junk
-0.490356,-0.483032,0.626221,-2.685547,1.037598,-6.652832,junk
-0.484009,-0.46228,0.631714,-1.831055,1.647949,-10.253905,junk
-0.479126,-0.452271,0.633423,0.12207,3.601074,-13.610839,junk
-0.471313,-0.438232,0.635742,1.953125,6.16455,-16.845703,junk
-0.479614,-0.422974,0.636841,2.929687,7.141113,-19.40918,junk
-0.487915,-0.420166,0.637085,6.103515,9.216309,-27.221678,junk
-0.504639,-0.435669,0.638306,7.263183,10.253905,-32.043457,junk
-0.509277,-0.460449,0.644531,6.347656,11.413573,-40.222164,junk
-0.514038,-0.467529,0.64978,4.150391,12.08496,-43.640133,junk
-0.529419,-0.466797,0.654663,4.333496,14.22119,-45.715328,junk
-0.540283,-0.466064,0.64978,4.760742,15.380858,-47.241207,junk
-0.542847,-0.46521,0.64856,5.432128,16.113281,-51.086422,junk
-0.553833,-0.460327,0.648071,6.469726,15.075683,-55.175777,junk
-0.570679,-0.469971,0.647095,7.019042,14.709472,-56.701656,junk
-0.591675,-0.477173,0.646484,7.080078,15.747069,-57.800289,junk
-0.605225,-0.477539,0.64624,7.202148,19.104004,-58.227535,junk
-0.624634,-0.480835,0.644409,7.446289,21.240232,-58.654781,junk
-0.632324,-0.481201,0.638794,7.019042,23.559568,-59.753414,junk
-0.638916,-0.480957,0.635864,7.141113,22.705076,-60.05859,junk
-0.65564,-0.484253,0.635254,7.8125,21.972654,-59.509274,junk
-0.662964,-0.48645,0.63501,9.460449,21.240232,-57.006832,junk
-0.664917,-0.490356,0.63855,10.803222,20.996092,-53.588863,junk
-0.66687,-0.499146,0.651367,10.437011,21.423338,-51.086422,junk
-0.668213,-0.494751,0.655029,6.16455,23.315428,-44.616695,junk
-0.670776,-0.47876,0.651978,-0.549316,23.498533,-40.52734,junk
-0.671021,-0.442993,0.640991,-2.258301,22.3999,-40.40527,junk
-0.662964,-0.43335,0.635986,-1.953125,18.493652,-41.564938,junk
-0.660767,-0.430786,0.628784,-0.549316,14.22119,-41.442867,junk
-0.643921,-0.425171,0.633911,2.13623,13.061522,-40.222164,junk
-0.6521,-0.419312,0.633667,3.845215,13.244628,-37.353516,junk
-0.654541,-0.415649,0.633545,1.708984,13.000487,-37.29248,junk
-0.660034,-0.408569,0.64624,3.295898,12.451171,-37.536621,junk
-0.67041,-0.414917,0.649414,14.587401,11.718749,-38.085937,junk
-0.67395,-0.412109,0.64856,19.165039,12.145995,-37.414551,junk
-0.689331,-0.429443,0.649414,17.63916,12.573241,-36.010742,junk
-0.684448,-0.439697,0.654907,12.634276,12.695312,-31.249998,junk
-0.689941,-0.442505,0.661499,13.366698,13.244628,-26.977537,junk
-0.68396,-0.431152,0.657471,9.70459,14.038085,-24.658201,junk
-0.697266,-0.4198,0.654297,0.610352,15.747069,-20.996092,junk
-0.692139,-0.415283,0.659058,-6.103515,15.930175,-18.493652,junk
-0.686768,-0.411499,0.671387,-8.911133,15.563964,-16.479492,junk
-0.677246,-0.389526,0.676636,-11.047362,15.563964,-12.878417,junk
-0.668335,-0.385132,0.671875,-18.981934,16.052246,-8.789063,junk
-0.65979,-0.367432,0.66626,-18.737793,16.357422,-7.141113,junk
-0.655151,-0.36438,0.673218,-25.451658,15.686034,-5.371093,junk
-0.646118,-0.359863,0.679077,-32.348633,14.709472,-1.159668,junk
-0.646362,-0.344116,0.687378,-31.188963,14.160155,1.586914,junk
-0.645874,-0.310059,0.694458,-31.066893,11.047362,5.249023,junk
-0.647461,-0.28894,0.692749,-26.977537,6.347656,5.737304,junk
-0.650269,-0.274414,0.694946,-19.40918,4.455566,5.065917,junk
-0.647217,-0.266479,0.696777,-5.371093,2.563476,3.417969,junk
-0.645874,-0.275635,0.699707,8.605957,2.01416,2.13623,junk
-0.644531,-0.295166,0.707397,12.08496,1.525879,1.953125,junk
-0.637573,-0.306152,0.705811,10.009766,0.305176,2.929687,junk
-0.632568,-0.303833,0.706665,9.94873,-0.793457,3.417969,junk
-0.625244,-0.302246,0.708008,9.338379,-1.281738,3.479004,junk
-0.61792,-0.310181,0.716553,5.432128,-2.441406,3.845215,junk
-0.615356,-0.309937,0.727295,3.784179,-2.929687,4.882812,junk
-0.611816,-0.307007,0.740723,3.356933,-2.380371,5.187988,junk
-0.609985,-0.30127,0.746826,1.647949,-0.854492,4.821777,junk
-0.613892,-0.299072,0.749146,2.746582,0.305176,2.929687,junk
-0.614746,-0.301636,0.747803,3.967285,0.732422,1.953125,junk
-0.612915,-0.308472,0.739746,5.92041,1.403808,1.464844,junk
-0.613403,-0.309814,0.73584,8.911133,2.197266,1.953125,junk
-0.61084,-0.316772,0.725952,10.864257,2.807617,2.13623,junk
-0.606689,-0.332764,0.723267,13.610839,3.784179,2.624511,junk
-0.601074,-0.338013,0.723389,7.873535,4.577637,3.479004,junk
-0.593506,-0.337036,0.720337,3.662109,4.943848,3.90625,junk
-0.592651,-0.330566,0.718628,0.976562,5.432128,4.882812,junk
-0.594604,-0.327393,0.722046,-0.488281,4.821777,5.310058,junk
-0.598633,-0.341675,0.734009,-3.479004,4.821777,5.798339,junk
-0.620117,-0.404175,0.763062,-15.380858,9.460449,9.033203,double
-0.646118,-0.491943,0.791016,-53.710934,30.395506,21.240232,double
-0.673218,-0.651611,0.802612,-89.843742,49.194332,32.531738,double
-0.613159,-0.517334,0.725708,-185.66893,82.519524,59.326168,double
-0.546875,-0.330078,0.671631,-234.374985,75.012207,70.251465,double
-0.307373,0.498047,0.492065,-207.885727,39.916992,60.119625,double
-0.236694,1.328735,0.416504,62.499996,-93.383781,-12.695312,double
-0.318237,1.233643,0.276733,585.998535,-206.726059,-118.530266,double
-0.728516,0.229858,-0.553955,826.47699,-252.258286,-156.433105,double
-1.068359,-0.885254,-1.016113,1021.972595,-349.304169,-188.049301,double
-1.193726,-1.569458,-0.816406,982.97113,-325.073212,-151.000977,double
-1.272583,-2.910767,0.388428,840.759216,-231.262192,-93.688957,double
-1.598022,-3.176147,0.988647,241.271957,66.223145,87.524406,double
-1.746826,-2.740967,0.618774,-606.262207,376.708954,243.957504,double
-1.620728,-2.067261,-1.125244,-962.097107,458.801239,280.212402,double
