timestamp,ax,ay,az,gx,gy,gz,label
74,0.161499,-0.229858,0.950439,2.441406,7.141113,-15.258788,junk
85,0.163208,-0.227905,0.966553,2.868652,6.958007,-15.380858,junk
96,0.165894,-0.228638,0.983887,3.417969,5.554199,-16.967773,junk
107,0.167725,-0.231567,0.991821,3.112793,5.065917,-17.944336,junk
119,0.167969,-0.234619,0.990723,2.563476,5.004883,-18.737793,junk
130,0.166748,-0.238281,0.987793,2.13623,5.615234,-19.226074,junk
141,0.164551,-0.247437,0.978516,1.89209,7.141113,-19.470215,junk
152,0.169556,-0.253418,0.969482,1.953125,8.911133,-19.592285,junk
163,0.176147,-0.260742,0.96228,2.075195,10.19287,-19.65332,junk
175,0.181763,-0.264282,0.957275,1.770019,10.742187,-19.470215,junk
186,0.187134,-0.263062,0.952759,0.915527,10.681151,-19.042969,junk
197,0.189819,-0.263672,0.949829,0.305176,9.338379,-18.005371,junk
208,0.188599,-0.269897,0.94751,0.12207,8.361816,-17.700195,junk
220,0.186157,-0.279175,0.946411,-0.976562,7.507324,-17.578125,junk
231,0.184204,-0.282471,0.94873,-2.441406,7.324218,-17.272949,junk
242,0.182495,-0.275513,0.951538,-2.929687,8.117676,-16.601562,junk
253,0.183228,-0.278931,0.947754,-2.380371,9.765625,-15.686034,junk
265,0.185425,-0.286377,0.944458,-1.953125,11.474608,-14.831542,junk
276,0.19043,-0.290771,0.943237,-2.441406,12.634276,-14.282226,junk
287,0.196167,-0.291504,0.940918,-3.479004,13.183593,-13.793944,junk
298,0.200684,-0.289795,0.934204,-3.051758,13.488769,-11.718749,junk
310,0.203857,-0.287354,0.925781,-1.89209,13.183593,-10.375976,junk
321,0.204712,-0.285522,0.921997,-0.915527,12.573241,-9.58252,junk
332,0.200562,-0.279907,0.930176,-0.061035,11.901855,-9.521484,junk
343,0.203125,-0.275391,0.935303,0.610352,11.596679,-9.765625,junk
354,0.206787,-0.275269,0.939331,0.915527,11.657714,-9.82666,junk
366,0.20752,-0.278564,0.941895,0.549316,11.779784,-9.70459,junk
377,0.205811,-0.279541,0.943359,-0.854492,12.08496,-9.70459,junk
388,0.204102,-0.274658,0.943359,-4.455566,13.610839,-10.742187,junk
399,0.205322,-0.26416,0.941895,-4.821777,14.404296,-11.352538,junk
411,0.210083,-0.252441,0.939819,-3.90625,14.831542,-12.08496,junk
422,0.215576,-0.246094,0.938843,-2.502441,14.526366,-13.122558,junk
433,0.222046,-0.252075,0.939087,-1.708984,13.488769,-14.587401,junk
444,0.223633,-0.253296,0.942139,-1.89209,11.901855,-16.174316,junk
456,0.223389,-0.251953,0.945312,-2.563476,10.375976,-17.51709,junk
467,0.224121,-0.247803,0.948853,-2.868652,9.277344,-18.371582,junk
478,0.225586,-0.242065,0.950806,-2.197266,8.850098,-18.493652,junk
489,0.227783,-0.238159,0.950073,1.770019,10.31494,-18.066406,junk
501,0.234253,-0.234375,0.947266,3.784179,11.718749,-17.883301,junk
512,0.239624,-0.230225,0.940552,6.04248,13.305663,-17.51709,junk
523,0.266724,-0.224121,0.922363,9.82666,14.587401,-17.272949,junk
534,0.275269,-0.224731,0.919434,11.657714,15.014647,-17.822266,junk
546,0.281128,-0.233032,0.920166,6.713867,14.160155,-18.432617,junk
557,0.295776,-0.244751,0.925781,-1.647949,12.329101,-18.493652,junk
568,0.304443,-0.25293,0.936157,-5.554199,9.70459,-18.005371,junk
579,0.303345,-0.258179,0.946533,-2.929687,3.662109,-16.601562,junk
591,0.302246,-0.257568,0.953857,-2.441406,0.915527,-15.808105,junk
602,0.29895,-0.252563,0.961304,-2.502441,-1.586914,-14.282226,junk
613,0.290527,-0.245728,0.968628,-2.807617,-3.479004,-12.573241,junk
624,0.281738,-0.234253,0.970581,-3.051758,-4.211426,-11.169433,junk
635,0.28125,-0.2323,0.964111,-2.563476,-3.723144,-10.19287,junk
647,0.28064,-0.234497,0.955566,-0.549316,-1.770019,-10.009766,junk
658,0.283203,-0.238647,0.949097,2.441406,0.915527,-10.864257,junk
669,0.286133,-0.242432,0.942749,5.187988,3.051758,-12.145995,junk
680,0.288208,-0.246582,0.933838,4.394531,2.258301,-14.770507,junk
691,0.293457,-0.243896,0.921265,2.380371,-0.488281,-16.479492,junk
703,0.298828,-0.231934,0.907227,1.525879,-4.089355,-18.005371,junk
714,0.300537,-0.215454,0.893433,2.502441,-8.361816,-19.104004,junk
725,0.293335,-0.219727,0.888672,3.845215,-12.817382,-19.958496,junk
736,0.285522,-0.241943,0.891724,3.234863,-16.235352,-20.38574,junk
748,0.278687,-0.251953,0.888062,-0.976562,-17.456055,-20.38574,junk
759,0.271973,-0.250366,0.884766,-8.850098,-17.089844,-20.26367,junk
770,0.264893,-0.244385,0.889282,-18.127441,-16.235352,-19.470215,junk
781,0.258179,-0.234131,0.895386,-29.663084,-13.610839,-14.404296,junk
793,0.25354,-0.218262,0.892456,-30.029295,-12.939452,-11.596679,junk
804,0.252563,-0.210571,0.887207,-28.686522,-13.244628,-9.94873,junk
815,0.252197,-0.221191,0.913818,-26.977537,-13.549804,-8.728027,junk
826,0.250732,-0.221436,0.929565,-24.841307,-12.878417,-6.896972,junk
838,0.249023,-0.226929,0.931885,-22.27783,-11.352538,-4.150391,junk
849,0.244385,-0.237549,0.923706,-19.958496,-9.765625,-1.281738,junk
860,0.239624,-0.24585,0.915405,-18.920898,-8.239746,-0.244141,junk
871,0.244263,-0.245605,0.915527,-18.798828,-7.080078,-0.671387,junk
883,0.241333,-0.248291,0.922241,-20.26367,-6.835937,0.12207,junk
894,0.228271,-0.256958,0.927124,-22.27783,-5.187988,0.183105,junk
905,0.220215,-0.249634,0.932373,-22.033689,-3.234863,1.159668,junk
916,0.203735,-0.211304,0.949219,-19.104004,-2.13623,3.051758,junk
928,0.19873,-0.203613,0.957031,-14.648437,-2.13623,4.455566,junk
939,0.196655,-0.205322,0.964355,-9.765625,-3.051758,5.004883,junk
950,0.194336,-0.203613,0.966797,-5.249023,-4.455566,5.310058,junk
961,0.191895,-0.190552,0.962402,-1.159668,-5.554199,6.04248,junk
973,0.188721,-0.174561,0.955566,8.605957,-6.225585,8.422852,junk
984,0.186279,-0.167114,0.950806,12.329101,-6.774902,8.605957,junk
995,0.18689,-0.17395,0.950928,13.366698,-8.605957,7.629394,junk
1006,0.190552,-0.200928,0.960327,11.96289,-11.657714,5.859375,junk
1018,0.19519,-0.197754,0.962402,9.277344,-14.770507,3.90625,junk
1029,0.195557,-0.193604,0.963379,6.591796,-17.028809,2.197266,junk
1040,0.188232,-0.204712,0.964844,4.089355,-18.615723,0.854492,junk
1051,0.179688,-0.221313,0.966675,1.220703,-20.080564,-0.549316,junk
1063,0.175293,-0.225708,0.968628,-5.004883,-24.963377,-1.831055,junk
1074,0.170898,-0.22168,0.973389,-4.943848,-26.733397,-0.427246,junk
1085,0.161987,-0.221558,0.983276,-2.929687,-25.878904,1.098633,junk
1096,0.153442,-0.227783,0.995117,-0.427246,-22.827147,1.647949,junk
1107,0.151978,-0.246704,1.011841,1.708984,-19.348145,1.220703,junk
