ax,ay,az,gx,gy,gz,label
0.205933,-0.350464,0.906982,2.319336,3.845215,0.183105,junk
0.2146,-0.355103,0.922729,2.075195,3.845215,0.244141,junk
0.216675,-0.355103,0.922119,1.525879,2.685547,0.427246,junk
0.217285,-0.349731,0.917603,1.770019,2.258301,0.610352,junk
0.217773,-0.346924,0.911743,2.929687,1.464844,1.281738,junk
0.21936,-0.347778,0.910767,3.967285,0.671387,1.464844,junk
0.223877,-0.352295,0.912231,3.90625,0.244141,1.525879,junk
0.224365,-0.352661,0.91626,1.953125,-0.061035,1.770019,junk
0.223389,-0.346924,0.91748,-1.037598,0.488281,2.197266,junk
0.222412,-0.332275,0.922485,-1.342773,0.549316,2.13623,junk
0.224121,-0.327515,0.929932,0.549316,-0.244141,1.281738,junk
0.221313,-0.337036,0.932739,2.990722,-1.525879,0.0,junk
0.21875,-0.346558,0.934082,3.784179,-1.770019,-0.854492,junk
0.21521,-0.358643,0.932861,2.990722,-1.098633,-0.793457,junk
0.215698,-0.350952,0.931519,0.12207,0.549316,0.0,junk
0.217773,-0.344238,0.929932,-0.488281,1.220703,0.427246,junk
0.220581,-0.335571,0.928711,0.427246,1.220703,0.183105,junk
0.218872,-0.339233,0.922607,2.319336,1.708984,-0.671387,junk
0.218262,-0.343384,0.917114,2.929687,1.831055,-0.732422,junk
0.219604,-0.346924,0.909302,2.685547,1.281738,-0.610352,junk
0.217651,-0.35144,0.911743,1.89209,-0.488281,-0.793457,junk
0.216187,-0.353882,0.912598,0.183105,-0.915527,-0.671387,junk
0.214844,-0.353638,0.911621,-1.647949,-0.793457,0.366211,junk
0.213867,-0.340576,0.912109,-1.708984,-0.854492,0.732422,junk
0.215088,-0.338257,0.909668,-0.366211,-0.610352,0.183105,junk
0.218262,-0.341675,0.908936,0.061035,-1.342773,-0.671387,junk
0.220825,-0.346924,0.910034,-0.427246,-2.380371,-0.793457,junk
0.221313,-0.349854,0.919312,-1.586914,-4.272461,-0.732422,junk
0.219604,-0.347534,0.933472,-1.770019,-4.333496,-0.549316,junk
0.218262,-0.347534,0.940186,-0.610352,-3.112793,-0.366211,junk
0.218018,-0.348877,0.942749,0.427246,-1.220703,-0.12207,junk
0.218872,-0.349976,0.936646,0.427246,-0.549316,-0.061035,junk
0.217163,-0.349731,0.935669,0.183105,-0.488281,-0.12207,junk
0.217041,-0.35022,0.935303,0.305176,-0.915527,-0.244141,junk
0.216919,-0.349609,0.936035,0.549316,-0.854492,-0.427246,junk
0.213257,-0.35022,0.93689,1.098633,-0.244141,-0.427246,junk
0.213989,-0.35083,0.935669,1.647949,0.671387,-0.366211,junk
0.219116,-0.353149,0.93103,2.01416,1.220703,-0.488281,junk
0.219971,-0.354614,0.929443,2.441406,1.708984,-0.427246,junk
0.219727,-0.352905,0.928467,1.831055,1.464844,0.305176,junk
0.217407,-0.351807,0.925293,1.342773,1.403808,0.488281,junk
0.216553,-0.345947,0.923828,0.366211,1.464844,0.671387,junk
0.216797,-0.342651,0.923218,0.488281,1.525879,0.793457,junk
0.216309,-0.342896,0.922363,1.586914,1.770019,0.610352,junk
0.217651,-0.341797,0.919434,2.13623,1.770019,0.488281,junk
0.218262,-0.348511,0.918091,2.441406,1.647949,0.488281,junk
0.218384,-0.348511,0.916504,0.793457,1.770019,0.915527,junk
0.218018,-0.337646,0.915405,0.244141,1.586914,0.793457,junk
0.217407,-0.333374,0.916626,0.366211,1.037598,0.244141,junk
0.216187,-0.333252,0.918823,2.258301,1.403808,-0.671387,junk
0.218384,-0.341064,0.922119,3.417969,1.831055,-1.159668,junk
0.220093,-0.348877,0.920776,3.90625,2.197266,-1.525879,junk
0.222656,-0.35437,0.917114,2.868652,2.13623,-1.464844,junk
0.221558,-0.35376,0.915894,0.976562,1.464844,-1.098633,junk
0.220459,-0.349609,0.91626,0.976562,0.0,-0.488281,junk
0.220459,-0.34375,0.918945,1.708984,-0.427246,-0.610352,junk
0.223877,-0.348999,0.917969,2.13623,-0.244141,-1.342773,junk
0.224121,-0.350464,0.917603,1.281738,-0.12207,-1.342773,junk
0.223389,-0.352783,0.916748,1.220703,-0.549316,-1.220703,junk
0.223511,-0.352783,0.915771,1.159668,-1.770019,-0.915527,junk
0.221802,-0.353027,0.917358,0.976562,-2.258301,-0.915527,junk
0.221436,-0.356689,0.921265,0.549316,-2.746582,-1.037598,junk
0.220581,-0.356812,0.920044,-0.12207,-2.502441,-0.854492,junk
0.217773,-0.355713,0.914551,-0.305176,-2.197266,-0.732422,junk
0.216553,-0.362305,0.917725,0.305176,-1.403808,-0.427246,junk
0.219604,-0.362793,0.921509,0.366211,-1.647949,0.061035,junk
0.220703,-0.358032,0.925293,0.183105,-2.319336,0.183105,junk
0.216675,-0.355713,0.926514,0.427246,-3.173828,0.305176,junk
0.214844,-0.357666,0.928223,0.793457,-2.13623,0.305176,junk
0.211182,-0.361084,0.936035,0.732422,-0.915527,0.366211,junk
0.215942,-0.357666,0.93335,0.305176,1.708984,1.098633,junk
0.217651,-0.353638,0.927979,0.610352,2.258301,1.342773,junk
0.221558,-0.348633,0.920532,1.586914,1.525879,1.220703,junk
0.220215,-0.352295,0.921387,3.601074,-0.244141,0.732422,junk
0.213501,-0.362427,0.928833,1.647949,-0.244141,0.854492,junk
0.212036,-0.355347,0.93335,0.244141,0.305176,1.159668,junk
0.213867,-0.350586,0.932495,-0.061035,2.13623,1.464844,junk
0.217407,-0.343384,0.932861,1.037598,2.624511,1.342773,junk
0.219238,-0.343994,0.936279,3.601074,2.197266,0.854492,junk
0.217773,-0.350098,0.936646,4.333496,2.01416,0.427246,junk
0.215698,-0.361206,0.935791,3.601074,2.380371,0.244141,junk
0.221558,-0.360596,0.935425,2.197266,2.929687,0.305176,junk
0.224243,-0.358276,0.93335,2.624511,1.770019,0.671387,junk
0.22229,-0.351807,0.933838,3.723144,0.793457,0.671387,junk
0.218506,-0.353638,0.931274,7.568359,-0.305176,0.305176,junk
0.219849,-0.356934,0.92688,11.413573,0.488281,0.183105,junk
0.222046,-0.364258,0.925171,13.000487,0.976562,0.305176,junk
0.219482,-0.391357,0.935669,14.648437,2.380371,1.403808,junk
0.218994,-0.397583,0.938354,10.681151,5.981445,2.502441,junk
0.224609,-0.388184,0.932739,8.666992,7.8125,2.075195,junk
0.232544,-0.388306,0.92688,7.324218,9.887695,0.671387,junk
0.234009,-0.387939,0.924438,9.033203,10.31494,0.549316,junk
0.234131,-0.391602,0.920898,10.498046,10.375976,0.915527,junk
0.235718,-0.393433,0.917847,13.305663,10.742187,1.831055,junk
0.239502,-0.400146,0.915894,13.97705,11.108397,2.258301,junk
0.241577,-0.399414,0.911621,13.122558,12.023925,2.929687,junk
0.241943,-0.397095,0.90625,11.535644,13.183593,3.417969,junk
0.243652,-0.3927,0.891968,11.718749,13.85498,3.662109,junk
0.246826,-0.390869,0.886719,14.282226,14.770507,4.577637,junk
0.246704,-0.391235,0.88855,19.65332,15.747069,5.92041,junk
0.246582,-0.395264,0.890869,22.766111,16.784668,6.530761,junk
0.251831,-0.402954,0.884644,27.343748,18.920898,7.263183,junk
0.280029,-0.41626,0.873535,27.648924,19.470215,7.568359,junk
0.309204,-0.412231,0.875854,25.634764,18.981934,9.338379,junk
0.321411,-0.403076,0.882446,25.085447,17.456055,11.718749,junk
0.344116,-0.375732,0.902222,26.916502,17.333984,12.390136,junk
0.362671,-0.359497,0.89624,34.973145,21.118162,12.20703,junk
0.369873,-0.363037,0.88269,45.349117,25.817869,9.094238,junk
0.389771,-0.400146,0.85437,48.156734,27.099607,7.507324,junk
0.400269,-0.423706,0.84021,44.616695,28.442381,6.469726,junk
0.421753,-0.447876,0.810547,32.897949,29.296873,7.751464,junk
0.444458,-0.4552,0.781616,26.123045,29.174803,8.789063,junk
0.451416,-0.456055,0.776001,15.747069,26.30615,10.375976,junk
0.467407,-0.442017,0.77771,13.85498,23.559568,10.681151,junk
0.469604,-0.442749,0.787109,15.930175,16.113281,10.803222,junk
0.466919,-0.451294,0.795288,19.287109,9.277344,10.009766,junk
0.455811,-0.477661,0.80835,19.40918,7.873535,9.58252,junk
0.444946,-0.501343,0.807373,15.930175,8.972168,9.643555,junk
0.435547,-0.538818,0.799683,10.0708,9.82666,10.803222,junk
0.434082,-0.541016,0.795532,7.8125,9.643555,11.901855,junk
0.431763,-0.5354,0.795898,6.713867,7.690429,13.000487,junk
0.418091,-0.5354,0.802368,8.483887,5.981445,12.329101,junk
0.413696,-0.539551,0.800293,15.075683,2.746582,10.31494,junk
0.410645,-0.537354,0.792603,23.437498,1.770019,9.277344,junk
0.394043,-0.557007,0.781006,27.343748,1.525879,7.995605,junk
0.37915,-0.582886,0.791138,30.029295,-2.929687,3.112793,junk
0.370361,-0.59082,0.803345,26.550291,-10.925292,-2.197266,junk
0.3479,-0.605469,0.83374,24.414061,-13.85498,-4.150391,junk
0.348022,-0.61438,0.853027,21.240232,-15.319823,-5.004883,junk
0.352661,-0.611694,0.849731,21.911619,-8.483887,-5.676269,junk
0.361206,-0.619019,0.823975,23.742674,-3.723144,-7.93457,junk
0.355835,-0.671021,0.786621,26.489256,2.13623,-14.343261,junk
0.340454,-0.706909,0.771118,21.484373,3.845215,-16.723633,junk
0.327271,-0.719971,0.748901,18.249512,2.502441,-16.113281,junk
0.361084,-0.664185,0.758545,20.568846,-9.094238,-11.96289,junk
0.375244,-0.635254,0.780884,34.729004,-28.259275,-6.958007,junk
0.380005,-0.605957,0.811768,41.931149,-35.888672,-6.835937,junk
0.351685,-0.618896,0.802856,50.659176,-40.954586,-11.230468,junk
0.337646,-0.643433,0.795532,47.302242,-36.682129,-15.86914,junk
0.33374,-0.693481,0.766968,41.503902,-33.691406,-17.150879,junk
0.339844,-0.705933,0.708984,26.489256,-27.587889,-18.493652,junk
0.337402,-0.700195,0.682495,17.883301,-26.611326,-18.249512,junk
0.331421,-0.672119,0.665039,18.127441,-29.174803,-16.418457,junk
0.331421,-0.624878,0.648193,25.939939,-35.705566,-11.352538,junk
0.321777,-0.638062,0.644653,34.729004,-42.358395,-8.300781,junk
0.271729,-0.729248,0.658691,34.301758,-46.44775,-8.056641,junk
0.231201,-0.776855,0.672974,19.53125,-51.330563,-6.408691,junk
0.216309,-0.7677,0.668457,-4.089355,-48.21777,-1.281738,junk
0.195923,-0.687622,0.647705,-10.375976,-42.236324,0.732422,junk
0.191162,-0.608887,0.627686,-2.990722,-39.978027,0.061035,junk
0.192505,-0.596802,0.629639,23.742674,-41.564938,-1.403808,junk
0.194824,-0.631226,0.663452,42.175289,-56.579586,-0.244141,junk
0.183594,-0.66687,0.699585,41.381832,-65.673828,0.976562,junk
0.177612,-0.659302,0.705444,23.803709,-74.707031,5.676269,junk
0.149292,-0.632202,0.72229,2.746582,-70.068359,8.361816,junk
0.11792,-0.589722,0.733765,-3.662109,-63.415524,5.92041,junk
0.092163,-0.611328,0.720215,-2.01416,-46.813961,-4.394531,junk
0.088623,-0.633179,0.714966,13.732909,-36.071777,-11.047362,junk
0.104004,-0.680298,0.70752,21.972654,-33.935547,-10.131835,junk
0.11853,-0.704468,0.70813,32.104492,-36.499023,-3.234863,junk
0.119873,-0.764038,0.720459,27.282713,-46.020504,3.723144,junk
0.081299,-0.811035,0.745605,18.859863,-49.072262,7.568359,junk
0.057495,-0.809204,0.749146,-0.915527,-47.241207,17.150879,junk
0.030273,-0.772339,0.73938,-6.896972,-39.794922,23.132322,junk
0.035522,-0.746582,0.708252,-2.746582,-36.010742,24.353025,junk
0.040039,-0.749512,0.690308,10.498046,-31.249998,28.625486,junk
0.0625,-0.763916,0.685303,17.028809,-31.494139,32.470703,junk
0.085327,-0.772339,0.715332,21.179197,-40.283199,43.090816,junk
0.078613,-0.759766,0.736816,6.835937,-53.161617,52.795406,junk
0.049438,-0.688721,0.764893,-2.990722,-56.27441,55.603024,junk
0.02478,-0.606323,0.768921,-13.488769,-52.12402,54.687496,junk
0.021729,-0.5802,0.761475,-5.981445,-38.269043,46.936031,junk
0.029053,-0.571899,0.729492,1.220703,-31.249998,43.029781,junk
0.052979,-0.585205,0.706299,17.333984,-23.559568,39.428711,junk
0.062744,-0.602295,0.699341,27.526854,-25.817869,39.855957,junk
0.070557,-0.648804,0.688354,24.414061,-29.479979,40.771481,junk
0.067627,-0.656372,0.672241,4.577637,-37.04834,42.41943,junk
0.068604,-0.641235,0.667847,-12.08496,-41.259762,45.654293,junk
0.068359,-0.600464,0.65979,-14.22119,-41.564938,48.156734,junk
0.064331,-0.581177,0.656372,-6.835937,-39.855957,50.537106,junk
0.062866,-0.588257,0.658569,8.056641,-38.635254,49.316402,junk
0.051636,-0.627319,0.653198,13.061522,-38.818359,48.950191,junk
0.035645,-0.659546,0.64563,13.916015,-40.954586,48.950191,junk
0.030029,-0.667358,0.645874,8.178711,-45.410152,49.072262,junk
0.020752,-0.670776,0.655518,5.615234,-47.668453,48.950191,junk
0.021118,-0.686401,0.667847,4.516602,-50.537106,47.058102,junk
0.018799,-0.696533,0.674927,7.263183,-52.917477,46.386715,junk
0.009155,-0.714233,0.689331,9.338379,-53.771969,47.119137,junk
0.014404,-0.736816,0.71106,12.451171,-55.847164,47.485348,junk
0.020142,-0.747314,0.72522,12.329101,-60.363766,47.668453,junk
0.03833,-0.750977,0.752075,10.803222,-62.438961,49.316402,junk
0.062988,-0.717773,0.766846,5.126953,-63.049313,54.443356,junk
0.073242,-0.689087,0.765991,1.770019,-58.1665,59.753414,junk
0.074219,-0.631104,0.743408,2.441406,-53.344723,61.218258,junk
0.065308,-0.612915,0.729004,3.967285,-42.602535,57.739254,junk
0.046631,-0.617432,0.701172,0.0,-36.743164,46.386715,junk
0.033569,-0.658936,0.683594,-3.173828,-36.254883,40.466305,junk
0.033325,-0.681396,0.686035,-6.774902,-41.381832,32.348633,junk
0.049072,-0.723267,0.714111,-6.286621,-46.142574,30.273436,junk
0.0625,-0.742554,0.752563,-2.563476,-53.955074,29.907225,junk
0.065552,-0.740356,0.767456,1.586914,-54.992672,32.531738,junk
0.0802,-0.724243,0.769653,2.441406,-52.551266,33.996582,junk
0.090332,-0.705566,0.751831,1.770019,-43.518063,36.071777,junk
0.099365,-0.690918,0.744507,-0.305176,-36.682129,37.597656,junk
0.101196,-0.662964,0.736816,-1.647949,-34.851074,37.658691,junk
0.088013,-0.657593,0.748657,-4.394531,-32.043457,36.499023,junk
0.08313,-0.655518,0.760498,-7.93457,-30.883787,35.15625,junk
0.07019,-0.637085,0.786011,-10.131835,-30.944822,34.362793,junk
0.044678,-0.614014,0.812622,-14.770507,-31.738279,31.433104,junk
0.035767,-0.610352,0.826294,-17.700195,-29.96826,27.709959,junk
0.031372,-0.599854,0.842041,-18.737793,-27.343748,25.634764,junk
0.030884,-0.575195,0.849487,-15.99121,-20.507811,20.507811,junk
0.033325,-0.573853,0.848633,-4.211426,-12.08496,13.244628,junk
0.044189,-0.595947,0.830811,2.502441,-7.568359,9.765625,junk
0.053223,-0.631348,0.799927,10.925292,-1.220703,5.798339,junk
0.056885,-0.646484,0.78833,11.474608,1.159668,5.371093,junk
0.055786,-0.661377,0.774902,9.58252,1.525879,6.408691,junk
0.050537,-0.657837,0.758057,3.723144,3.173828,8.178711,junk
0.053711,-0.650146,0.743896,0.12207,6.04248,7.873535,junk
0.062988,-0.629028,0.723389,0.549316,6.835937,7.873535,junk
0.069336,-0.623413,0.727417,4.882812,4.943848,6.774902,junk
0.072021,-0.638916,0.729736,6.408691,2.624511,4.577637,junk
0.077026,-0.669067,0.72229,4.638672,2.929687,4.272461,junk
0.07959,-0.675171,0.717285,0.793457,5.126953,5.493164,junk
0.078613,-0.67981,0.711182,-2.197266,5.065917,6.591796,junk
0.07605,-0.681885,0.713623,-3.356933,3.845215,6.408691,junk
0.079224,-0.686157,0.713013,-5.249023,0.488281,6.530761,junk
0.09436,-0.692139,0.712769,-5.737304,-3.601074,9.155273,junk
0.094849,-0.682739,0.73877,-5.554199,-5.371093,10.375976,junk
0.085693,-0.680786,0.752197,-5.859375,-6.16455,10.253905,junk
0.078979,-0.679321,0.754517,-7.202148,-4.150391,10.253905,junk
0.095459,-0.652344,0.745972,-6.774902,-3.173828,11.230468,junk
0.109619,-0.63208,0.747314,-0.732422,-2.746582,12.878417,junk
0.12854,-0.609741,0.754883,8.117676,-2.929687,12.20703,junk
