timestamp,ax,ay,az,gx,gy,gz,label
79,0.081435207154598,0.0207061822789843,0.5222582946421259,-0.0926877077415961,-0.0044993073587726,0.0709748024367617,3
90,0.0760094671775028,0.0128437769581257,0.5543809033554734,-0.102627103849219,-0.0269217376968116,0.053910965217814,3
102,0.0713583793679975,0.0169817066550086,0.5869640445244808,-0.1038695245459457,-0.0534209811411308,0.0425350633839186,3
113,0.0632181820003719,0.0153278903633797,0.6044041266616706,-0.0492028713988609,-0.0778818263816103,0.0368470969350756,3
124,0.0515920498785916,-0.0152880448386189,0.6039454739303196,-0.0255968272713714,-0.0585169933493308,0.0254711951011803,3
135,0.0473282881528813,-0.0682406668810398,0.5929302894806611,-0.0193847034318651,-0.0289601525992521,0.0103033363439166,3
147,0.035702156031101,-0.125327829652533,0.5695258421115996,-0.0349150028526945,0.0016159039513472,-0.0086565104005057,3
158,0.0337655256121261,-0.1302926674952303,0.5603471483116538,-0.0634907501229636,0.0250575500899069,-0.0162404242472422,3
169,0.0217520674065508,-0.1100232510193442,0.5539222506241225,-0.0926877077415961,0.0464607813260261,-0.0029685439516627,3
180,0.0128372178713352,-0.0839586995871356,0.5520876396987185,-0.1038695245459457,0.0627680003539452,0.0121993148056008,3
192,0.0136118700389251,-0.0810645210767852,0.5596591692146273,-0.0808846805888831,0.0658256143583055,0.0254711951011803,3
203,0.0105132613685653,-0.1265681918712546,0.5754920870677799,-0.0168998518604752,0.0515567935342261,0.0368470969350756,3
214,0.0008237596657599,-0.1811780191731151,0.5927009631149854,-0.017521072386775,0.0637872161544659,0.0444310418456027,3
225,-0.0003382185856249,-0.1977263489928363,0.6053214321243725,-0.0324301512813047,0.0892672437982644,0.0577029221411822,3
237,0.0128372178713352,-0.1774535435491394,0.6087632073338136,-0.038642275120811,0.1147472881406638,0.0709748024367617,3
248,0.0248506760769106,-0.1592513974377896,0.6000431662652186,-0.0287028790131882,0.1341121211729433,0.0899346181173936,3
259,0.0260158291322611,-0.1671104137908374,0.5860467390617787,-0.0113089485472686,0.1524577551033029,0.1145824002468684,3
270,0.0419025481757861,-0.1832452895376513,0.5692965157459242,0.0104334645351307,0.1677457750293022,0.1392301823763433,3
